Zyxin,"PRG1 Proteoglycan 1, secretory granule",CD33 CD33 antigen (differentiation antigen),DF D component of complement (adipsin),RNS2 Ribonuclease 2 (eosinophil-derived neurotoxin; EDN),CST3 Cystatin C (amyloid angiopathy and cerebral hemorrhage),APLP2 Amyloid beta (A4) precursor-like protein 2,"GLUTATHIONE S-TRANSFERASE, MICROSOMAL",CTSD Cathepsin D (lysosomal aspartyl protease),ATP6C Vacuolar H+ ATPase proton channel subunit,PROTEASOME IOTA CHAIN,LYN V-yes-1 Yamaguchi sarcoma viral related oncogene homolog,PPGB Protective protein for beta-galactosidase (galactosialidosis),HKR-T1,SPI1 Spleen focus forming virus (SFFV) proviral integration oncogene spi1,LYZ Lysozyme1,Lysozyme gene (EC 3.2.1.17),LYZ Lysozyme2,FAH Fumarylacetoacetate,RABAPTIN-5 protein,Leukotriene C4 synthase (LTC4S) gene,MYL1 Myosin light chain (alkali),ALDOA Aldolase A,"ARHG Ras homolog gene family, member G (rho G)",Liver mRNA for interferon-gamma inducing factor(IGIF),TCF3 Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)1,MPO Myeloperoxidase,MB-1 gene,"FTL Ferritin, light polypeptide",Azurocidin gene,TIMP2 Tissue inhibitor of metalloproteinase 2,Nucleoside-diphosphate kinase,Macmarcks,ALDR1 Aldehyde reductase 1 (low Km aldose reductase),ME491  gene extracted from H.sapiens gene for Me491/CD63 antigen,GPX1 Glutathione peroxidase 1,LAMP2 Lysosome-associated membrane protein 2 {alternative products},"C-myb gene extracted from Human (c-myb) gene, complete primary cds, and five complete alternatively spliced cds","Quiescin (Q6) mRNA, partial cds",SELL Leukocyte adhesion protein beta subunit1,CCND3 Cyclin D3,TCF3 Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)2,"KAI1 Kangai 1 (suppression of tumorigenicity 6, prostate; CD82 antigen (R2 leukocyte antigen, antigen detected by monoclonal and antibody IA4))","ITGAX Integrin, alpha X (antigen CD11C (p150), alpha polypeptide)","PFC Properdin P factor, complement",PROBABLE G PROTEIN-COUPLED RECEPTOR LCR1 HOMOLOG,Transcriptional activator hSNF2b1,INTERLEUKIN-8 PRECURSOR,Oncoprotein 18 (Op18) gene,"Clone 22 mRNA, alternative splice variant alpha-1",CYSTATIN A,14-3-3 PROTEIN TAU,Hunc18b2,PTH2 parathyroid hormone receptor mRNA,MSH2 DNA repair protein MSH2,MANB Mannosidase alpha-B (lysosomal),KIAA0022 gene,"SPTAN1 Spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)",VIL2 Villin 2 (ezrin),ALDH7 Aldehyde dehydrogenase 7,"ZNF91 Zinc finger protein 91 (HPF7, HTF10)",Keratin 10 type I intermediate filament (KRT10) mRNA,"GB DEF = Topoisomerase type II (Topo II) mRNA, partial cds",INTERFERON GAMMA UP-REGULATED I-5111 PROTEIN PRECURSOR,CDC10 Cell division cycle 10 (homologous to CDC10 of S. cerevisiae,26-kDa cell surface protein TAPA-1 mRNA,TOP2B Topoisomerase (DNA) II beta (180kD),SMT3B protein,"Calcineurin A catalytic subunit [human, testis, mRNA, 2134 nt]","PRKCD Protein kinase C, delta",Inducible protein mRNA,"GTF2E2 General transcription factor TFIIE beta subunit, 34 kD",NADH:ubiquinone oxidoreductase subunit B13 (B13) mRNA,Thymopoietin beta mRNA,"TCF12 Transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)",LEUKOCYTE ELASTASE INHIBITOR,GRN Granulin,CRYZ Crystallin zeta (quinone reductase),PERIPHERAL-TYPE BENZODIAZEPINE RECEPTOR,PCBD 6-pyruvoyl-tetrahydropterin synthase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1),"Heat Shock Protein, 70 Kda (Gb:Y00371)",ERC-55 mRNA,Terminal transferase mRNA,PLECKSTRIN,"RHD Rhesus blood group, D antigen",Transcriptional activator hSNF2b2,"CHRNA7 Cholinergic receptor, nicotinic, alpha polypeptide 7","GB DEF = Retinoblastoma susceptibility protein (RB1) gene, with a 3 bp deletion in exon 22 (L11910 bases 161855-162161)",IL7R Interleukin 7 receptor,PHOSPHATIDYLINOSITOL,PGD Phosphogluconate dehydrogenase,GB DEF = GTP-binding protein (RAB3B) mRNA,CAB3b mRNA for calcium channel beta3 subunit,"CD36 CD36 antigen (collagen type I receptor, thrombospondin receptor)","KIAA0128 gene, partial cds",SELL Leukocyte adhesion protein beta subunit2,Nuclear Factor Nf-Il6,Phosphotyrosine independent ligand p62 for the Lck SH2 domain mRNA,AKT1 V-akt murine thymoma viral oncogene homolog 1,LRPAP1 Low density lipoprotein-related protein-associated protein 1 (alpha-2-macroglobulin receptor-associated protein 1,SNRPN Small nuclear ribonucleoprotein polypeptide N,Amyloid precursor protein-binding protein 1 mRNA,DCK Deoxycytidine kinase,ADPRT ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase),GB DEF = P85 beta subunit of phosphatidyl-inositol-3-kinase,Clone 23721 mRNA sequence,Thymopoietin (TMPO) gene,GB DEF = DNA for cellular retinol binding protein (CRBP) exons 3 and 4,"ACADM Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain",LMNA Lamin A,"LMP2 gene extracted from H.sapiens genes TAP1, TAP2, LMP2, LMP7 and DOB","SERINE/THREONINE PROTEIN PHOSPHATASE 2B CATALYTIC SUBUNIT, BETA ISOFORM",GB DEF = Homeodomain protein HoxA9 mRNA,CSF3R Colony stimulating factor 3 receptor (granulocyte),Hepatocyte growth factor-like protein gene,Tetracycline transporter-like protein mRNA,"Putative enterocyte differentiation promoting factor mRNA, partial cds","PI Protease inhibitor 1 (anti-elastase), alpha-1-antitrypsin",Epb72 gene exon 1,Interleukin 8 (IL8) gene,GB DEF = Myosin-IE,Activin type II receptor,Skeletal muscle LIM-protein SLIM1 mRNA,TALDO Transaldolase,Transmembrane protein,HMG1 High-mobility group (nonhistone chromosomal) protein 1,OS-9 precurosor mRNA,Small GTP-binding protein mRNA,"P4HB Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55)",GLRX Glutaredoxin (thioltransferase),Metargidin precursor mRNA,BB1,HPrp18 mRNA,Heterochromatin protein HP1Hs-gamma mRNA,FES Feline sarcoma (Snyder-Theilen) viral (v-fes)/Fujinami avian sarcoma (PRCII) viral (v-fps) oncogene homolog,IGB Immunoglobulin-associated beta (B29),KIAA0212 gene,Uridine phosphorylase,THYMOSIN BETA-10,MHC class I-related protein mRNA,TFIID subunit TAFII55 (TAFII55) mRNA,RNH Ribonuclease/angiogenin inhibitor,"MPO from  Human myeloperoxidase gene, exons 1-4./ntype=DNA /annot=exon",Very-long-chain acyl-CoA dehydrogenase (VLCAD),Low-Mr GTP-binding protein (RAB31) mRNA,"KIAA0184 gene, partial cds",OBF-1 mRNA for octamer binding factor 1,LPAP gene,HOXB3 Homeo box B3,ALCAM Activated leucocyte cell adhesion molecule,leukemia_type
-8,69,2323,1656,575,-958,1524,795,480,952,-13,8231,124,4346,2150,1166,508,325,958,1057,1361,103,180,2044,4157,233,990,2466,-161,797,292,162,158,327,723,94,103,393,190,1735,509,767,245,785,180,823,2018,363,405,2117,468,822,1298,223,172,1048,54,-167,-258,273,181,3863,337,307,1595,-60,160,3282,427,1311,-10,1173,193,524,83,31,358,141,460,571,-208,394,967,8444,5565,1569,3586,635,497,5056,812,3989,610,21,-471,-22,90,759,2689,161,36,3828,333,1582,9144,-70,695,1114,1853,4778,196,-4,3105,-2,7546,631,1999,3767,554,398,782,5418,9326,56,1320,75,242,1930,601,1124,517,654,921,557,382,-267,268,330,365,3016,835,1410,44,1284,303,174,-283,261,177,298,ALL
76,17,1238,-10,1169,-429,1980,833,678,388,0,10026,520,2554,-512,397,545,399,926,785,237,488,206,2317,11557,486,2605,119,-197,727,2062,169,1187,516,995,-130,-84,118,83,1097,393,814,80,167,186,779,650,156,490,4069,1121,988,1379,1074,1568,1550,209,88,-302,289,91,511,131,186,822,39,204,1627,306,1696,-13,1948,31,1074,921,137,82,84,151,2893,334,194,1031,1920,5318,2501,4802,165,491,3888,311,2774,927,82,162,-12,65,1656,3072,588,58,3021,5345,624,4090,364,812,1238,1126,2700,2120,1134,1118,100,9601,739,1092,2890,1555,908,368,17348,895,-29,898,129,667,4851,435,1062,351,1283,4101,2716,3606,421,346,811,624,3424,3072,2325,146,540,1358,309,-65,101,3460,307,ALL
184,333,1982,-91,545,-645,2311,1391,540,559,-147,13498,232,1855,-1046,709,736,421,812,1147,1240,-10,106,2255,12125,234,1794,550,-31,643,-25,-18,339,338,-203,118,-302,667,125,1260,837,1547,263,839,330,1146,573,339,690,3726,595,886,1496,148,319,1521,128,108,-358,164,167,1952,529,282,1452,-72,51,2783,242,1624,58,1048,198,485,58,263,263,98,230,2723,-386,261,1429,3118,2584,2200,5153,140,549,3584,1170,3694,1697,-18,-375,62,157,1130,4174,207,63,7247,301,753,3192,-208,810,1176,1555,4926,967,232,4543,-5,2918,106,2106,5996,1052,906,1268,6156,628,-109,597,44,419,3097,547,1398,214,1286,2799,1716,2997,-1046,804,212,108,7724,609,2789,110,236,254,226,-395,309,416,309,ALL
71,121,3947,166,716,-795,2408,996,538,626,-134,6678,21,912,1624,969,442,296,907,1210,992,-66,165,1753,8484,62,2016,1289,-346,813,-2,199,353,285,704,-7,-137,410,219,982,345,831,37,584,165,759,2291,261,335,1154,527,650,1401,-53,238,369,109,14,-546,483,144,6127,422,467,654,-49,239,1544,262,2585,-9,763,91,370,483,379,218,5,314,731,366,297,920,4261,11689,1354,3301,380,418,2355,952,3637,425,114,-542,-91,11,1062,1894,82,38,3780,241,743,4750,34,599,1685,1674,5403,173,55,5467,-27,9491,352,1159,2810,696,763,882,7070,5314,-62,1644,218,-100,3499,472,942,432,915,1166,1143,1331,5,452,584,873,3821,935,1132,86,786,-304,151,-367,288,392,693,ALL
111,95,3324,405,1211,-237,1671,678,588,776,105,8644,216,1019,2986,1196,693,406,1447,594,1233,1106,295,2590,9575,212,1912,1098,-205,613,138,334,508,782,1142,28,137,119,473,1097,500,1423,129,504,500,760,2796,557,574,1209,1125,551,1894,353,1081,554,34,-3,-137,914,306,2547,354,146,1011,-12,360,1896,366,3211,125,2197,194,1242,1385,302,186,238,632,649,408,344,1299,3425,10308,1513,4524,366,584,1252,577,3245,529,128,24,228,50,822,4091,337,120,3563,93,626,7453,218,282,1502,1161,3440,802,1093,3469,51,10367,2028,1847,2206,755,201,949,9017,5354,938,1322,110,918,6697,661,928,596,732,3250,2917,3069,484,476,1018,686,5216,1665,1269,104,968,-86,672,290,395,7972,713,ALL
117,257,1710,-14,444,-663,2562,851,423,24,-62,8309,-140,1184,-508,890,496,256,677,1219,401,120,145,1696,5315,135,1068,570,161,499,23,117,823,298,-17,-208,-229,147,56,1134,730,430,120,588,133,752,405,174,378,2197,538,864,528,421,1036,841,122,160,-529,376,33,1804,327,26,1584,-16,-56,2372,81,874,53,179,96,736,-3,122,209,32,181,1858,200,76,1248,1790,2647,876,3378,160,553,1954,368,2272,1682,58,-216,-26,23,1020,2133,200,92,4890,215,1157,1897,401,711,691,1321,3179,1984,-56,3309,-19,2263,17,1397,3881,1033,620,910,6221,282,88,787,33,321,3703,337,842,220,691,3126,3300,2850,-743,256,206,302,4194,499,1854,10,368,1168,353,-40,58,597,247,ALL
115,440,1488,-11,258,-623,2387,1033,567,339,60,4824,-151,873,1198,1285,161,194,951,1290,821,1,21,1792,6270,139,1021,315,-463,904,107,378,70,230,566,-52,-263,735,117,851,608,764,184,367,184,868,1829,131,362,13,554,977,1747,102,186,561,35,45,-510,184,152,1129,354,275,578,115,85,613,179,1308,258,1829,178,811,488,356,144,-1,213,280,381,169,702,3810,9428,645,2629,255,334,1557,1305,3321,386,84,-362,0,80,1068,1545,55,16,3330,159,552,7593,255,556,1278,1560,3978,221,272,3936,-21,9863,245,1265,3723,322,672,826,4746,5146,-78,946,115,-220,4879,309,1066,196,853,1053,830,1201,-189,208,655,325,5528,764,2735,105,344,-233,114,-366,84,403,52,ALL
-46,131,2215,524,593,-733,1271,914,532,602,-155,5033,145,2118,1797,1712,260,281,967,1394,1012,-46,146,2544,4566,232,1187,653,100,667,-19,571,476,266,506,-178,-446,248,-119,1160,518,752,236,452,241,1133,2497,176,248,1479,608,425,1514,28,40,403,47,-17,-412,232,116,1412,232,535,1024,61,61,4066,295,727,56,253,112,371,-142,244,167,71,227,1716,-215,221,818,6153,4742,964,2287,584,190,5202,716,4253,629,107,-70,-140,89,1455,2012,121,169,4213,455,572,13214,-100,1281,1545,1841,3293,130,376,4745,116,5886,281,1404,4072,1130,1478,1302,7881,4048,-257,1917,32,-215,1361,263,1668,436,1238,1751,1683,1947,-247,310,-187,244,2073,1323,1962,104,-196,-247,122,-656,251,140,-215,ALL
106,-111,3420,-4,790,-663,3298,802,641,483,-219,13655,99,3045,-597,997,944,397,1052,1247,929,2728,195,3485,10061,349,2680,2438,-215,616,104,-8,691,466,515,82,-235,258,137,663,907,1777,200,1046,414,731,1204,423,857,4040,1082,858,803,272,2414,1753,142,620,-339,890,57,5817,568,269,1297,14,101,1391,320,3006,-15,246,198,1002,1240,698,385,90,362,2388,-322,263,1509,3303,5522,2692,4423,227,1089,3421,770,8351,2760,0,-445,277,68,1099,5840,127,43,7230,445,1776,2551,521,746,1166,1108,7324,1709,100,4081,88,5919,621,1637,7439,2042,1184,1337,9431,423,-35,1440,9,691,8382,978,966,513,822,2343,1965,2629,-548,640,1176,273,7782,1741,2900,103,310,336,48,-231,155,848,-223,ALL
111,163,723,-26,243,-367,2396,829,632,450,97,8147,265,2118,-521,372,568,248,1250,798,330,458,86,1374,7194,193,1305,928,-73,190,-35,176,306,280,-26,205,67,409,10,916,973,426,120,400,62,653,324,186,386,1996,409,910,1939,367,872,791,78,44,-233,487,36,769,19,223,971,35,68,972,186,3219,61,414,9,711,254,-73,146,62,47,913,36,109,1128,1329,3093,1003,4220,57,432,1287,413,4430,1722,1,-490,22,39,1164,3042,272,-18,5052,522,756,1983,-169,513,402,1262,2676,414,194,1658,38,3387,381,1465,4791,1355,1142,82,5092,585,392,442,54,320,8790,752,1175,114,885,1502,1781,2148,-408,152,100,144,5204,1188,1855,64,260,498,282,-36,167,1094,492,ALL
129,117,703,66,1112,-523,1589,761,828,488,61,7035,-55,2520,-565,475,616,364,872,885,512,2261,274,2048,7021,159,1060,1130,-68,282,189,139,82,155,372,-121,-99,306,-69,130,478,472,73,386,311,607,264,246,775,2660,633,557,587,88,217,986,108,163,-259,942,144,1704,7,203,1913,-103,62,780,351,2168,14,233,36,366,851,242,89,54,225,2147,-163,213,1320,2525,4194,1082,3408,121,810,3894,333,7186,1587,-1,-145,52,28,662,4144,37,26,3352,1278,1972,3680,-276,461,1044,1065,6134,272,29,2853,65,2128,373,1061,4406,1264,615,737,6027,147,16,617,38,140,4987,897,626,492,680,964,833,969,-504,441,164,34,6541,1870,1471,93,210,-376,215,-152,140,1343,-25,ALL
10,219,672,44,296,-119,1122,617,291,326,-142,3449,478,970,676,912,232,155,1093,925,90,517,278,873,4036,456,2073,560,-185,602,1855,530,132,140,878,68,204,15,-10,725,238,76,91,136,40,617,472,47,149,776,633,490,1347,426,51,257,11,-89,-264,538,76,363,-27,142,329,5,474,2433,123,590,103,411,-22,362,712,58,37,63,43,140,448,122,671,1277,4101,612,2021,81,215,747,435,2951,169,99,-235,-25,93,753,1521,306,-81,2290,3684,219,5705,252,494,257,661,2056,-99,646,551,63,7797,626,625,1379,300,889,1296,15280,2504,1452,474,7,879,5472,334,747,119,412,2599,4009,3939,-159,90,446,399,846,1030,1763,33,146,107,135,41,287,5252,408,ALL
40,38,3260,530,1481,-294,1947,518,396,1370,40,8020,124,4856,2827,540,466,537,1075,800,827,834,51,1791,12920,533,1651,2384,-173,324,3,182,138,660,798,80,320,87,491,2575,124,920,256,600,439,601,1591,703,518,1561,991,768,1489,220,691,886,4,0,-137,523,214,1515,207,114,1593,-43,292,9811,218,2607,17,717,170,973,409,206,283,112,495,556,-102,586,1097,6216,7747,1746,5470,232,644,3844,1299,4956,719,31,-58,213,53,728,3147,44,123,4751,116,1322,13883,4,315,1054,1291,10669,660,711,4746,104,14517,712,1910,6964,540,875,160,6183,5075,22,1969,103,200,5597,668,706,393,548,123,93,210,495,545,196,281,7743,1482,786,61,825,-97,111,-104,152,2408,724,ALL
-3,294,5964,0,623,-787,1641,557,834,385,-2,4893,232,571,-472,608,593,273,553,801,679,301,282,1909,6555,374,2133,207,-119,1628,9,452,720,513,699,89,-89,188,100,1776,370,606,144,210,283,576,999,475,631,1868,623,864,1784,213,2555,837,108,-157,-328,644,136,3854,290,196,1011,43,34,257,217,1674,138,1022,188,878,88,221,179,19,442,1483,153,148,976,3382,3076,1714,3623,116,453,3367,548,1806,859,71,-405,127,74,918,3041,328,89,2346,94,732,851,493,1030,1220,758,1912,2327,355,1534,0,3531,800,1250,2056,145,453,838,13077,155,93,686,72,946,4222,265,864,416,1157,3264,3576,3633,-298,570,1216,589,1756,892,2337,986,513,820,236,-140,145,2525,360,ALL
103,-46,6147,443,1366,-387,1525,444,491,1236,139,10267,108,927,2748,948,673,366,1057,678,1426,602,236,1843,11506,452,1829,2241,-16,653,91,304,277,695,1179,132,-55,99,457,3898,259,1417,59,744,419,652,2352,365,475,1648,1079,599,2286,130,1805,528,-46,83,-190,999,303,4436,513,110,1763,-42,153,6270,315,2249,-48,2320,217,933,789,276,314,62,522,1505,195,426,1360,5831,10614,1678,7313,582,925,2333,527,4438,661,46,106,238,50,943,2927,128,268,3347,29,1636,8568,114,333,2117,1634,9211,983,745,5311,50,12831,704,2073,3688,1130,751,520,8506,5767,333,2572,158,408,8104,898,515,651,387,434,637,735,818,571,664,854,7288,1306,2035,46,440,76,159,-198,81,2133,938,ALL
32,126,3774,1016,644,-591,1551,1410,653,742,-11,11553,53,3013,2335,831,636,348,871,933,1578,228,219,1748,11089,188,1358,1124,-259,460,73,540,181,418,172,209,-87,67,196,1441,640,869,122,308,342,746,2576,518,628,1715,651,563,944,30,801,675,58,94,-182,302,80,2206,190,336,2065,-1,86,6845,239,2164,2,734,240,467,367,461,106,108,467,904,9,210,806,5617,6737,1430,3746,227,636,2999,569,2005,1034,-27,-266,100,24,644,3088,133,171,3207,38,2076,5256,-91,426,1571,1598,3345,248,393,4326,65,9546,537,2039,2976,45,192,478,3720,3649,3562,1439,28,-14,5847,666,825,278,707,975,635,637,-311,235,295,289,6084,593,1910,30,94,36,281,-102,202,1232,848,ALL
260,16,3511,-161,1558,-1529,2602,1894,892,786,-236,4551,235,2592,-660,867,1041,413,5157,1582,660,597,385,4496,13775,121,4200,434,-511,1551,17,1263,350,812,1313,337,600,-226,166,1456,460,2031,578,883,477,1149,1875,727,573,1949,2028,790,1888,323,2377,1416,171,-102,-80,1055,204,754,214,199,1778,-62,1136,1234,403,2083,278,942,254,1647,3786,387,335,17,485,643,192,91,1150,3714,4371,1816,5103,245,799,3260,379,3782,447,586,-203,204,86,2703,4061,71,53,6633,282,917,3574,78,588,2482,1124,2360,4348,590,7155,336,17799,648,775,3182,2084,852,7,12676,218,1441,989,117,2127,8693,374,1837,623,1822,1133,817,973,400,352,1080,534,2455,2376,4215,3107,3755,375,811,-158,286,1150,926,ALL
